1,7,2
1,8,4
1,9,5
1,16,1
1,18,1
1,30,2
1,43,3
1,46,3
1,47,1
2,7,3
2,8,5
2,10,2
2,21,2
2,30,1
2,31,5
2,37,5
2,49,4
2,53,1
3,6,5
3,18,5
3,27,1
3,34,1
3,38,2
3,42,3
3,45,3
3,47,1
3,56,4
3,58,2
4,8,3
4,18,5
4,37,4
4,40,1
4,42,4
4,48,4
4,53,1
4,56,5
4,60,1
5,15,3
5,20,4
5,22,1
5,34,2
5,42,1
5,44,4
5,55,1
5,60,5
6,2,1
6,6,2
6,8,2
6,16,5
6,19,1
6,21,4
6,27,3
6,38,2
6,60,1
7,3,2
7,19,1
7,22,1
7,29,3
7,36,2
7,40,2
7,45,4
7,60,3
7,63,1
8,2,1
8,9,4
8,11,2
8,14,1
8,29,3
8,38,5
8,39,2
8,42,5
8,44,1
8,47,5
9,6,1
9,13,2
9,20,1
9,22,5
9,26,4
9,29,5
9,37,3
9,49,3
9,54,4
9,59,5
10,10,1
10,11,5
10,20,1
10,21,4
10,22,2
10,35,4
10,46,1
10,55,4
10,57,3
10,63,5
11,7,3
11,9,5
11,16,4
11,27,2
11,34,3
11,44,3
11,60,1
11,61,1
11,63,4
12,7,3
12,8,5
12,26,5
12,31,3
12,32,4
12,41,3
12,54,5
12,55,2
12,56,2
12,61,4
13,7,2
13,11,3
13,21,2
13,27,5
13,31,4
13,36,4
13,38,3
13,44,4
13,62,2
14,14,4
14,16,5
14,17,4
14,22,1
14,35,2
14,42,1
14,45,3
14,46,1
14,57,5
15,6,2
15,14,2
15,20,2
15,26,4
15,28,5
15,29,3
15,42,4
16,7,5
16,18,1
16,19,3
16,23,2
16,24,3
16,26,5
16,34,5
16,36,4
16,55,2
16,59,1
17,2,1
17,3,4
17,6,2
17,14,4
17,15,3
17,43,5
17,45,4
17,51,2
17,52,5
18,2,2
18,20,5
18,21,4
18,24,3
18,27,2
18,48,1
18,51,3
18,52,4
18,58,2
18,60,5
19,3,5
19,5,5
19,14,5
19,15,3
19,31,1
19,37,2
19,39,3
19,44,1
19,54,2
20,3,4
20,4,2
20,22,5
20,25,1
20,39,1
20,51,1
20,54,5
20,55,3
20,60,3
20,62,1
21,21,3
21,24,2
21,28,2
21,31,3
21,34,3
21,50,3
21,56,1
21,61,2
21,63,1
22,14,3
22,20,5
22,24,3
22,27,3
22,32,4
22,39,2
22,45,3
22,55,3
22,59,3
23,4,4
23,12,3
23,13,1
23,19,2
23,20,4
23,34,1
23,53,3
24,5,2
24,15,3
24,16,2
24,25,1
24,34,4
24,37,2
24,43,3
24,50,1
25,6,4
25,10,2
25,11,3
25,25,2
25,37,3
25,39,5
25,50,3
25,60,5
25,61,3
26,2,4
26,10,3
26,30,1
26,35,3
26,38,2
26,39,1
26,51,4
26,59,4
26,61,5
26,62,5
27,5,2
27,8,1
27,12,5
27,16,4
27,17,3
27,23,3
27,31,4
27,43,1
27,45,3
27,59,1
28,9,4
28,12,4
28,18,5
28,21,1
28,28,2
28,33,5
28,34,5
28,40,5
28,43,4
28,45,4
29,5,3
29,11,2
29,18,3
29,23,5
29,24,5
29,25,3
29,26,5
29,27,5
29,55,4
29,59,4
30,3,3
30,6,3
30,7,3
30,12,4
30,15,2
30,23,2
30,26,2
30,37,2
30,58,4
30,60,2
31,2,4
31,11,3
31,12,5
31,17,5
31,29,5
31,31,1
31,43,3
31,62,1
31,63,3
32,11,4
32,14,3
32,23,3
32,29,3
32,36,3
32,39,1
32,47,1
32,57,5
32,59,4
32,60,5
33,2,1
33,6,2
33,9,5
33,20,5
33,24,4
33,27,4
33,38,3
33,40,2
33,48,3
33,49,3
34,3,1
34,9,5
34,11,5
34,18,1
34,25,4
34,28,3
34,47,2
34,50,4
34,54,2
35,9,1
35,10,3
35,15,3
35,17,3
35,19,1
35,28,4
35,51,4
35,52,3
35,58,4
36,9,1
36,15,3
36,16,1
36,18,3
36,21,4
36,37,5
36,48,4
36,50,2
36,55,4
36,56,5
37,4,3
37,6,3
37,10,5
37,13,3
37,29,5
37,30,2
37,31,4
37,38,1
37,49,5
37,51,5
38,12,5
38,20,1
38,31,4
38,40,4
38,41,4
38,52,5
38,54,3
38,56,5
38,58,2
38,62,4
39,4,2
39,9,3
39,12,3
39,14,1
39,15,5
39,17,1
39,42,3
39,43,3
39,50,1
39,55,4
40,5,4
40,8,2
40,9,3
40,15,1
40,16,2
40,33,2
40,35,2
40,38,5
40,61,5
40,63,1
41,9,2
41,10,2
41,11,1
41,24,5
41,33,1
41,42,5
41,44,1
41,49,5
41,52,5
41,55,4
42,11,3
42,13,2
42,17,1
42,18,3
42,30,3
42,38,4
42,41,2
42,50,2
42,56,2
43,3,1
43,4,4
43,7,1
43,17,4
43,25,4
43,26,3
43,32,4
43,35,5
43,57,4
44,15,2
